iter	Passed	Remaining
0	142	142343
1	143	71398
2	144	48137
3	145	36218
4	146	29099
5	146	24324
6	147	20892
7	148	18387
8	149	16420
9	149	14833
10	150	13547
11	151	12457
12	151	11532
13	152	10734
14	153	10060
15	153	9466
16	154	8935
17	155	8461
18	155	8044
19	156	7664
20	157	7330
21	159	7083
22	160	6798
23	160	6533
24	161	6290
25	162	6072
26	162	5861
27	163	5668
28	163	5486
29	164	5318
30	165	5180
31	166	5037
32	167	4909
33	168	4779
34	168	4656
35	169	4542
36	170	4430
37	170	4326
38	171	4228
39	172	4132
40	173	4063
41	174	3980
42	175	3900
43	175	3822
44	177	3763
45	178	3697
46	179	3630
47	179	3563
48	180	3499
49	180	3437
50	181	3377
51	182	3322
52	183	3270
53	183	3218
54	184	3167
55	185	3119
56	185	3070
57	186	3025
58	187	2987
59	188	2946
60	188	2904
61	189	2862
62	190	2826
63	190	2789
64	191	2752
65	192	2717
66	192	2682
67	193	2650
68	193	2617
69	194	2586
70	195	2557
71	196	2529
72	196	2499
73	197	2469
74	197	2441
75	198	2414
76	199	2387
77	199	2360
78	200	2336
79	201	2312
80	201	2291
81	202	2270
82	203	2246
83	204	2224
84	204	2202
85	205	2179
86	205	2158
87	206	2137
88	206	2117
89	207	2096
90	207	2076
91	208	2057
92	209	2039
93	209	2022
94	210	2004
95	211	1987
96	211	1969
97	212	1952
98	212	1934
99	213	1918
100	213	1903
101	214	1886
102	214	1870
103	215	1855
104	215	1840
105	216	1826
106	217	1814
107	218	1801
108	218	1789
109	219	1776
110	220	1763
111	220	1749
112	221	1737
113	221	1724
114	222	1712
115	223	1700
116	223	1687
117	224	1675
118	224	1663
119	225	1652
120	225	1641
121	226	1629
122	226	1617
123	227	1607
124	228	1596
125	228	1586
126	229	1575
127	229	1564
128	230	1554
129	230	1544
130	231	1534
131	232	1526
132	232	1518
133	233	1509
134	234	1500
135	234	1490
136	235	1481
137	235	1472
138	236	1463
139	236	1455
140	237	1447
141	237	1437
142	238	1429
143	239	1421
144	239	1413
145	240	1404
146	240	1396
147	241	1388
148	241	1380
149	242	1372
150	242	1364
151	243	1356
152	243	1348
153	244	1341
154	244	1333
155	245	1326
156	245	1319
157	246	1313
158	247	1307
